global_time_sec, state_time_sec, global_counter, state_counter, state_number, counter, state_text, laser_pwm_0,laser_pwm_1,laser_pwm_2,laser_pwm_3,tec_pwm_0,tec_pwm_1,tec_pwm_2,tec_pwm_3,fan_pwm,laser_temperatures_0,laser_temperatures_1,laser_temperatures_2,laser_temperatures_3,temper_set_points0,temper_set_points1,temper_set_points2,temper_set_points3, summed_laser_current, summed_tec_current
0.0,0.0,0,0,9,0,Zero_Cal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.14,67.93333333333334,67.20666666666666,65.47333333333333,0.0,0.0,0.0,0.0,2.31,2.56
0.607,0.607,20,20,9,0,Zero_Cal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.26666666666667,74.00666666666666,71.64,68.74,0.0,0.0,0.0,0.0,2.171333333333333,2.4646666666666666
1.214,1.214,40,40,9,0,Zero_Cal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.29333333333334,74.00666666666666,71.66,68.76,0.0,0.0,0.0,0.0,2.1706666666666665,2.464
1.82,0.273,60,9,1,0,Ready,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.68666666666667,76.55333333333333,73.51333333333334,70.14666666666666,0.0,0.0,0.0,0.0,1.134,1.3066666666666666
2.427,0.88,80,29,1,0,Ready,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.513333333333335,61.63333333333333,61.52,60.49333333333333,0.0,0.0,0.0,0.0,0.47933333333333333,0.38533333333333336
3.034,1.487,100,49,1,0,Ready,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.45333333333333,73.66,71.06666666666666,68.07333333333334,0.0,0.0,0.0,0.0,0.07,0.05466666666666667
3.64,2.093,120,69,1,0,Ready,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.04,55.63333333333333,56.78666666666667,56.71333333333333,0.0,0.0,0.0,0.0,0.6826666666666666,0.5486666666666666
4.247,2.7,140,89,1,0,Ready,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.71333333333334,70.64666666666666,68.67333333333333,66.17333333333333,0.0,0.0,0.0,0.0,0.17266666666666666,0.138
4.854,3.307,160,109,1,0,Ready,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.23333333333333,64.64666666666666,63.92666666666667,62.413333333333334,0.0,0.0,0.0,0.0,0.37533333333333335,0.3006666666666667
5.46,3.913,180,129,1,0,Ready,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.6,60.1,60.32,59.526666666666664,0.0,0.0,0.0,0.0,0.5313333333333333,0.4266666666666667
6.067,4.52,200,149,1,0,Ready,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.33333333333333,75.16666666666667,72.23333333333333,69.03333333333333,0.0,0.0,0.0,0.0,0.019333333333333334,0.014
6.674,5.127,220,169,1,0,Ready,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.95333333333333,55.57333333333333,56.74,56.67333333333333,0.0,0.0,0.0,0.0,0.686,0.5506666666666666
7.28,5.733,240,189,1,0,Ready,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.86,69.14666666666666,67.47333333333333,65.22666666666667,0.0,0.0,0.0,0.0,0.22466666666666665,0.18
7.887,6.34,260,209,1,0,Ready,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.04666666666667,66.08,65.05333333333333,63.3,0.0,0.0,0.0,0.0,0.328,0.2633333333333333
8.494,6.947,280,229,1,0,Ready,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.78666666666667,58.64666666666667,59.16,58.6,0.0,0.0,0.0,0.0,0.5813333333333334,0.468
9.1,7.553,300,249,1,0,Ready,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.27333333333333,75.08666666666667,72.19333333333333,68.98666666666666,0.0,0.0,0.0,0.0,0.022,0.016666666666666666
9.707,8.16,320,269,1,0,Ready,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.9,57.13333333333333,57.96666666666667,57.653333333333336,0.0,0.0,0.0,0.0,0.6326666666666667,0.5086666666666667
10.314,8.767,340,289,1,0,Ready,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.98,67.62666666666667,66.28,64.26,0.0,0.0,0.0,0.0,0.27666666666666667,0.22266666666666668
10.92,9.373,360,309,1,0,Ready,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.96,67.60666666666667,66.26,64.26666666666667,0.0,0.0,0.0,0.0,0.27666666666666667,0.22266666666666668
11.527,9.98,380,329,1,0,Ready,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.906666666666666,57.126666666666665,57.96,57.64666666666667,0.0,0.0,0.0,0.0,0.6333333333333333,0.51
12.134,10.587,400,349,1,0,Ready,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.32,75.14666666666666,72.24,69.00666666666666,0.0,0.0,0.0,0.0,0.020666666666666667,0.015333333333333332
12.74,11.193,420,369,1,0,Ready,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.7,58.593333333333334,59.11333333333334,58.56666666666667,0.0,0.0,0.0,0.0,0.584,0.4693333333333333
13.347,11.8,440,389,1,0,Ready,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.09333333333333,66.14,65.08666666666667,63.32,0.0,0.0,0.0,0.0,0.3273333333333333,0.2633333333333333
13.954,12.407,460,409,1,0,Ready,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.85333333333334,69.16666666666667,67.48,65.24,0.0,0.0,0.0,0.0,0.224,0.17933333333333334
14.56,13.013,480,429,1,0,Ready,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.00666666666667,55.62,56.766666666666666,56.7,0.0,0.0,0.0,0.0,0.6833333333333333,0.5486666666666666
15.167,13.62,500,449,1,0,Ready,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.34666666666666,75.2,72.28666666666666,69.04666666666667,0.0,0.0,0.0,0.0,0.017333333333333333,0.012666666666666666
15.774,14.227,520,469,1,0,Ready,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.56666666666667,60.093333333333334,60.32,59.54,0.0,0.0,0.0,0.0,0.5306666666666666,0.42533333333333334
16.38,14.833,540,489,1,0,Ready,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.38,63.14,62.733333333333334,61.46666666666667,0.0,0.0,0.0,0.0,0.428,0.3426666666666667
