"Reference","Value","Footprint","Datasheet","AVAILABILITY","Arrow Part Number","Arrow Price/Stock","DESCRIPTION","Datasheet_1","Description","Digikey_Part_Number","Digikey_Price/Stock","Footprint_1","Height","MF","MP","Manufacturer","Manufacturer Part Number","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock","PACKAGE","PRICE","PURCHASE-URL","Price Unit 1","Value_1","Vendor Web Page","Qty"
"C1-C4","1µF","Global_Footprint_Library:C_0603_1608Metric_Small_Font","~","","","","CAP CER 1UF 25V X5R 0603","","CAP CER 1UF 25V X5R 0603","1276-1102-1-ND","https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL10A105KA8NNNC/3886760","","","","","","CL10A105KA8NNNC","Samsung Electro-Mechanics","CL10A105KA8NNNC","","","","0.017","",".1","","","4"
"C5, C8","0.1µF","Global_Footprint_Library:C_0603_1608Metric_Small_Font","https://datasheets.kyocera-avx.com/X7RDielectric.pdf","","","","","","CAP CER 0.1UF 50V X7R 0603","478-10346-2-ND","https://www.digikey.com/en/products/detail/kyocera-avx/06035C104KAT4A/1600047","","","","","","","KYOCERA AVX","06035C104KAT4A","","","","","","","","","2"
"C6, C9","33nF","Global_Footprint_Library:C_0603_1608Metric_Small_Font","https://media.digikey.com/pdf/Data%20Sheets/Samsung%20PDFs/CL10A105KA8NNNC_Spec.pdf","","","","","","CAP CER 1UF 25V X5R 0603","1276-1102-2-ND","https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL10A105KA8NNNC/3886760","","","","","","","Samsung Electro-Mechanics","CL10A105KA8NNNC","","","","","",".1","","","2"
"C7, C102, C104, C105, C202, C204, C205, C302, C304, C305, C402, C404, C405","10nF","Global_Footprint_Library:C_0603_1608Metric_Small_Font","~","","","","CAP CER 10000PF 25V X7R 0603","","","399-C0603C103K3RAC7867CT-ND","","","","","","","C0603C103K3RAC7867","","","","","","0.0263","","","","","13"
"C101, C201, C301, C401","10µF","Capacitor_SMD:C_0805_2012Metric","~","","","","CAP CER 10UF 16V X5R 0805","","","1276-1096-1-ND","","","","","","","CL21A106KOQNNNE","","","","","","0.07","","","","","4"
"C103, C203, C303, C403","22µF","Capacitor_SMD:C_0805_2012Metric","~","","","","CAP CER 22UF 10V X7S 0805","","","445-14560-1-ND","","","","","","","C2012X7S1A226M125AC","","","","","","0.462","","","","","4"
"D1-D3, D5","LED Green","Global_Footprint_Library:AA1608 Generic Kingbrite LED","https://www.kingbrightusa.com/images/catalog/SPEC/AA1608ZGSK-10MAV.pdf","","","","LED GREEN CLEAR 0603 SMD","","1.6X0.8MM BLUE SMD LED","754-AA1608ZGSK-10MAVCT-ND","https://www.digikey.com/en/products/detail/kingbright/AA1608QBS-D-10MAV/13997416?s=N4IgTCBcDaIOwFYAsBaAgmgjANgAwA4BFAIQGUB6AERU1wFk0A1AYQBUUA5SkAXQF8gA","","","","","","AA1608ZGSK-10MAV","Kingbright","AA1608QBS/D-10MAV","","","","0.332","","0.51","","","4"
"D4, D103, D203, D303, D403","LED Blue","Global_Footprint_Library:AA1608 Generic Kingbrite LED","https://www.kingbrightusa.com/images/catalog/SPEC/AA1608QBS-D-10MAV.pdf","","","","LED BLUE CLEAR 0603 SMD","","1.6X0.8MM BLUE SMD LED","754-AA1608QBS/D-10MAVCT-ND","https://www.digikey.com/en/products/detail/kingbright/AA1608QBS-D-10MAV/13997416?s=N4IgTCBcDaIOwFYAsBaAgmgjANgAwA4BFAIQGUB6AERU1wFk0A1AYQBUUA5SkAXQF8gA","","","","","","AA1608QBS/D-10MAV","Kingbright","AA1608QBS/D-10MAV","","","","0.315","","0.51","","","5"
"D101, D201, D301, D401","LED Red","Global_Footprint_Library:AA1608 Generic Kingbrite LED","https://www.kingbrightusa.com/images/catalog/SPEC/AA1608SURSK.pdf","","","","LED RED CLEAR 0603 SMD","","1.6X0.8MM BLUE SMD LED","754-AA1608SURSKCT-ND","https://www.digikey.com/en/products/detail/kingbright/AA1608QBS-D-10MAV/13997416?s=N4IgTCBcDaIOwFYAsBaAgmgjANgAwA4BFAIQGUB6AERU1wFk0A1AYQBUUA5SkAXQF8gA","","","","","","AA1608SURSK","Kingbright","AA1608QBS/D-10MAV","","","","0.315","","0.51","","","4"
"D102, D202, D302, D402","LED Yellow","Global_Footprint_Library:AA1608 Generic Kingbrite LED","https://www.kingbrightusa.com/images/catalog/SPEC/AA1608SYSK.pdf","","","","LED YELLOW CLEAR 0603 SMD","","1.6X0.8MM BLUE SMD LED","754-AA1608SYSKCT-ND","https://www.digikey.com/en/products/detail/kingbright/AA1608QBS-D-10MAV/13997416?s=N4IgTCBcDaIOwFYAsBaAgmgjANgAwA4BFAIQGUB6AERU1wFk0A1AYQBUUA5SkAXQF8gA","","","","","","AA1608SYSK","Kingbright","AA1608QBS/D-10MAV","","","","0.315","","0.51","","","4"
"H1-H5","MountingHole","MountingHole:MountingHole_3.5mm","~","","","","","","","","","","","","","","","","","","","","","","","","","5"
"IC1, IC2","ACS725LLCTR-10AU-T","Global_Footprint_Library:SOIC127P600X175-8N","https://www.allegromicro.com/~/media/Files/Datasheets/ACS725-Datasheet.ashx","","","","","","","","","","1.75","","","","","Allegro Microsystems","ACS725LLCTR-10AU-T","250-725LLCTR10AUT","https://www.mouser.co.uk/ProductDetail/Allegro-MicroSystems/ACS725LLCTR-10AU-T?qs=pUKx8fyJudDJhypXeBbXnA%3D%3D","","","","","","","2"
"J1","Conn_01x02_Pin","Global_Footprint_Library:Dual Solder Pads Both Sides No PTH","~","","","","","","","","","","","","","","","","","","","","","","","","","1"
"J2","5788801-1","Global_Footprint_Library:57888011_A","https://www.te.com/commerce/DocumentDelivery/DDEController?Action=showdoc&DocId=Customer+Drawing%7F5788801%7FO%7Fpdf%7FEnglish%7FENG_CD_5788801_O.pdf%7F5788801-1","","5788801-1","https://www.arrow.com/en/products/5788801-1/te-connectivity?region=nac","CONN D-SUB RCPT 25POS R/A SLDR","","","A35139-ND","","","12.93","","","","5788801-1","TE Connectivity","5788801-1","571-5788801-1","https://www.mouser.co.uk/ProductDetail/TE-Connectivity-AMP/5788801-1?qs=PmjM%2FwY1RToSHOZP%252ByStZg%3D%3D","","8.04","","","","","1"
"J3","5788798-1","Global_Footprint_Library:5788798-1 Fix_A","http://www.te.com/commerce/DocumentDelivery/DDEController?Action=showdoc&DocId=Customer+Drawing%7F5788798%7FA1%7Fpdf%7FEnglish%7FENG_CD_5788798_A1.pdf%7F5788798-1","","","","","","","","","","","","","","","TE Connectivity","5788798-1","571-5788798-1","https://www.mouser.co.uk/ProductDetail/TE-Connectivity/5788798-1?qs=PmjM%2FwY1RTpVZANV1g1dAQ%3D%3D","","","","","","","1"
"NT1","NetTie_2","Global_Footprint_Library:NetTieSolderBridgeSmaller","~","","","","","","","","","","","","","","","","","","","","","","","","","1"
"Q1, Q101, Q102, Q201, Q202, Q301, Q302, Q401, Q402","SSM3K376R_A","Global_Footprint_Library:SSM3K376R_Mod_A","https://toshiba.semicon-storage.com/info/SSM3K376R_datasheet_en_20210528.pdf?did=60463&prodName=SSM3K376R","","","","MOSFET N-CH 30V 4A SOT23F","https://toshiba.semicon-storage.com/info/docget.jsp?did=60463&prodName=SSM3K376R","MOSFET N-CH 30V 4A SOT23F","SSM3K376RLFTR-ND","https://www.digikey.com/en/products/detail/toshiba-semiconductor-and-storage/SSM3K376R-LF/9472331","SOTFL95P240X88-3N",".8","","","","SSM3K376R,LF","Toshiba Semiconductor and Storage","SSM3K376R,LF","","","","0.289","",".43","SSM3K376R","https://toshiba.semicon-storage.com/us/semiconductor/product/mosfets/detail.SSM3K376R.html","9"
"R1, R3, R13, R105, R107, R205, R207, R305, R307, R405, R407","500","Global_Footprint_Library:R_0603_1608Metric_Small_Font","~","","","","RES 499 OHM 1% 1/10W 0603","","-- mixed values --","13-RC0603FR-10499RLCT-ND","-- mixed values --","","","","","","RC0603FR-10499RL","-- mixed values --","-- mixed values --","","","","0.0112","","-- mixed values --","","","11"
"R2, R4, R10, R11, R15","1k","Global_Footprint_Library:R_0603_1608Metric_Small_Font","~","","","","-- mixed values --","","-- mixed values --","-- mixed values --","-- mixed values --","","","","","","-- mixed values --","-- mixed values --","-- mixed values --","","","","0.0112","","-- mixed values --","","","5"
"R5, R102, R202, R302, R402","25k","Global_Footprint_Library:R_0603_1608Metric_Small_Font","~","","","","-- mixed values --","","-- mixed values --","-- mixed values --","-- mixed values --","","","","","","-- mixed values --","-- mixed values --","-- mixed values --","","","","-- mixed values --","","-- mixed values --","","","5"
